track_id,track_name,track_artist,track_album_name,energy,tempo,danceability,loudness,liveness,valence,speechiness,track_popularity,instrumentalness,duration_ms,acousticness
7BqHUALzNBTanL6OvsqmC1,Happier,"Marshmello, Bastille",Happier,0.792,100.011,0.687,-2.749,0.167,0.671,0.0452,82,0.0,214290,0.191
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Hollywood's Bleeding,0.522,89.96,0.755,-4.368,0.0685,0.925,0.0575,82,0.0,157560,0.533
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,a Gift & a Curse,0.622,130.001,0.847,-6.747,0.285,0.22,0.0903,82,0.0,125040,0.119
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,american dream,0.733,172.09,0.625,-8.757,0.375,0.244,0.0488,81,0.000983,270698,0.00598
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",I NEVER LIKED YOU,0.642,83.389,0.463,-4.474,0.0686,0.339,0.34,82,0.0,189893,0.314
4pkb8SbRGeHAvdb87v9rpf,Miles On It,"Marshmello, Kane Brown",Miles On It,0.761,129.963,0.634,-4.752,0.549,0.785,0.0472,81,0.0,168454,0.00537
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,?,0.537,128.009,0.921,-5.723,0.102,0.711,0.0804,81,0.00404,135090,0.556
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,0.745,165.995,0.808,-5.26,0.292,0.829,0.342,81,0.0,210800,0.145
5ZUIPLoTLJZrPQh2kFZEUM,Addicted,"Zerb, The Chainsmokers, Ink",Addicted,0.741,120.064,0.771,-7.132,0.111,0.19,0.0374,81,0.000163,152250,0.0245
6EUcP55GlbmsmCzfL2vxtZ,on one tonight,Gunna,One of Wun,0.727,130.035,0.887,-4.318,0.213,0.932,0.135,82,1.16e-06,90760,0.381
09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),0.95,150.019,0.673,-5.149,0.398,0.563,0.0488,81,0.0823,140000,0.0229
4w2GLmK2wnioVnb5CPQeex,360,Charli xcx,BRAT,0.62,120.042,0.857,-8.13,0.0934,0.796,0.0472,81,0.244,133805,0.646
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,Houdini,0.887,127.003,0.936,-2.76,0.0582,0.889,0.0683,81,1.88e-06,227239,0.0292
